ChallengeId,ribbons,name,pace1,meters,spm,pace2,pace3,gain1,all1,pace4,gain2,all1
1,/challenge/2008/12/,"30 minutes @ 20 spm",2008,12,T,1800
1,ribbons,name,pace,meters,spm,pace,pace,gain,all,pace,gain,all
1,None,Danny,1:43.3,8714,20,0.0,25,15,40,184,92,276,None
1,None,Si,1:45.5,8531,20,-2.8,24,4,28,211,73,284,None
1,None,Olly,1:48.1,8327,20,-4.7,23,2,25,91,26,117,None
1,None,Stu,1:48.6,8286,20,-2.3,22,8,30,180,92,272,None
1,None,GregC,1:49.2,8244,20,-2.6,21,5,26,71,27,98,None
1,None,Rocky,1:49.3,8232,20,2.4,20,19,39,170,91,261,None
1,None,JulesT,1:49.9,8187,20,-4.0,19,3,22,183,67,250,None
1,None,NavHaz,1:49.9,8186,18,2.3,18,18,36,137,75,212,None
1,None,DaveC,1:50.6,8136,20,-0.9,17,11,28,33,11,44,None
1,None,AndyB,1:51.9,8044,20,-0.3,16,13,29,101,89,190,None
1,None,toddler,1:52.9,7974,20,-2.3,15,8,23,152,78,230,None
1,None,Lancs,1:53.8,7910,20,None,14,None,14,125,91,216,None
1,None,stupe,1:53.8,7909,20,None,13,None,13,13,None,13,None
1,None,Rocket,1:53.9,7903,20,-0.6,12,12,24,98,81,179,None
1,None,George,1:55.8,7772,20,-0.1,11,14,25,70,66,136,None
1,None,Adrian,1:56.9,7699,19,9.8,10,21,31,89,98,187,None
1,None,MattN,1:56.9,7698,20,-1.0,9,10,19,91,83,174,None
1,None,Harry,1:58.3,7607,20,-2.5,8,6,14,17,6,23,None
1,None,DaveS,1:59.0,7563,19,5.7,7,20,27,79,96,175,None
1,None,Graham,1:59.3,7542,20,-1.6,6,9,15,55,65,120,None
1,None,Emma,2:05.4,7175,20,0.6,5,16,21,42,100,142,None
1,None,Arlene,2:13.8,6728,20,-6.4,4,1,5,15,17,32,None
1,None,MarkP,2:13.9,6720,20,None,3,None,3,3,None,3,None
1,None,Kay,2:15.0,6667,20,1.9,2,17,19,21,99,120,None
1,None,Jane,2:19.8,6438,20,-2.4,1,7,8,11,98,109,None
2,/challenge/2009/01/,"4 &times 1000 m, 5' rest",2009,1,D,4000
2,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
2,None,ausrwr,1:32.3,12:18.0,30,None,22,None,22,141,64,205,None
2,None,Si,1:36.9,12:54.8,29,8.6,21,2,23,232,75,307,None
2,None,Stu,1:37.6,13:00.7,33,11.0,20,5,25,200,97,297,None
2,None,JulesT,1:37.7,13:01.6,27,12.2,19,12,31,202,79,281,None
2,None,GregC,1:38.1,13:04.8,32,11.1,18,6,24,89,33,122,None
2,None,DaveC,1:39.0,13:12.3,30,11.6,17,9,26,50,20,70,None
2,None,Rocket,1:41.3,13:30.6,33,12.6,16,14,30,114,95,209,None
2,None,toddler,1:42.5,13:39.8,29,10.4,15,4,19,167,82,249,None
2,None,Adrian,1:44.1,13:53.1,29,12.8,14,15,29,103,113,216,None
2,None,stupe,1:44.6,13:56.4,26,9.2,13,3,16,26,3,29,None
2,None,MattN,1:45.4,14:03.4,32,11.5,12,8,20,103,91,194,None
2,None,Graham,1:47.2,14:17.8,31,12.1,11,11,22,66,76,142,None
2,None,Elchem,1:48.1,14:24.8,26,None,10,None,10,81,59,140,None
2,None,DaveS,1:52.4,14:59.5,27,6.6,9,1,10,88,97,185,None
2,None,jvb,1:52.8,15:02.7,30,None,8,None,8,31,47,78,None
2,None,Emma,1:54.2,15:13.6,28,11.2,7,7,14,49,107,156,None
2,None,Hannah,1:55.1,15:20.4,29,None,6,None,6,6,None,6,None
2,None,Arlene,1:55.4,15:23.1,30,18.4,5,17,22,20,34,54,None
2,None,LilSis,1:58.0,15:44.0,29,None,4,None,4,7,None,7,None
2,None,MarkP,1:59.8,15:58.3,28,14.1,3,16,19,6,16,22,None
2,None,Kay,2:02.6,16:20.9,28,12.4,2,13,15,23,112,135,None
2,None,Jane,2:07.9,17:03.0,29,11.9,1,10,11,12,108,120,None
3,/challenge/2009/02/,"2000 m",2009,2,D,2000
3,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
3,None,DaveC,1:36.8,6:27.3,34,2.2,23,14,37,73,34,107,None
3,None,JulesT,1:36.9,6:27.5,29,0.8,22,12,34,224,91,315,None
3,None,NavHaz,1:36.9,6:27.5,31,None,22,None,22,159,75,234,None
3,None,Stu,1:37.5,6:29.9,33,0.1,21,9,30,221,106,327,None
3,None,GregC,1:39.0,6:35.8,32,-0.9,20,6,26,109,39,148,None
3,None,toddler,1:40.4,6:41.7,30,2.1,19,13,32,186,95,281,None
3,None,Rocket,1:41.0,6:43.8,34,0.3,18,10,28,132,105,237,None
3,None,Si,1:41.1,6:44.2,23,-4.2,17,4,21,249,79,328,None
3,None,MikeVB,1:42.5,6:50.0,34,None,16,None,16,16,None,16,None
3,None,stupe,1:44.0,6:55.9,28,0.6,15,11,26,41,14,55,None
3,None,AndyB,1:44.4,6:57.4,30,None,14,None,14,115,89,204,None
3,None,George,1:46.2,7:04.9,28,None,13,None,13,83,66,149,None
3,None,MattN,1:46.6,7:06.4,31,-1.2,12,5,17,115,96,211,None
3,None,Adrian,1:48.9,7:15.5,26,-4.8,11,3,14,114,116,230,None
3,None,DaveS,1:49.0,7:16.0,28,3.4,10,15,25,98,112,210,None
3,None,Rocky,1:50.5,7:21.8,20,None,9,None,9,179,91,270,None
3,None,Emma,1:52.0,7:28.0,27,2.2,8,14,22,57,121,178,None
3,None,ausrwr,1:52.3,7:29.3,19,-20.0,7,1,8,148,65,213,None
3,None,Hannah,1:52.9,7:31.6,27,2.2,6,14,20,12,14,26,None
3,None,Arlene,1:55.1,7:40.2,32,0.3,5,10,15,25,44,69,None
3,None,Kay,2:03.1,8:12.2,27,-0.5,4,7,11,27,119,146,None
3,None,MarkP,2:06.5,8:25.8,28,-6.7,3,2,5,9,18,27,None
3,None,JudyT,2:07.5,8:29.8,27,None,2,None,2,4,None,4,None
3,None,Jane,2:08.3,8:33.2,29,-0.4,1,8,9,13,116,129,None
4,/challenge/2009/03/,"1000 m",2009,3,D,1000
4,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
4,None,Matteo,1:27.5,2:55.0,33,None,22,None,22,46,None,46,None
4,None,ausrwr,1:27.6,2:55.2,36,24.7,21,18,39,169,83,252,None
4,None,Olly,1:28.8,2:57.6,34,None,20,None,20,111,26,137,None
4,None,JulesT,1:33.5,3:07.0,30,3.4,19,7,26,243,98,341,None
4,None,toddler,1:34.1,3:08.1,33,6.3,18,11,29,204,106,310,None
4,None,Stu,1:34.8,3:09.5,38,2.7,17,6,23,238,112,350,None
4,None,NavHaz,1:35.0,3:09.9,25,1.9,16,5,21,175,80,255,None
4,None,DaveC,1:35.1,3:10.2,34,1.7,15,4,19,88,38,126,None
4,None,Si,1:36.0,3:12.0,28,5.1,14,9,23,263,88,351,None
4,None,AndyB,1:36.6,3:13.1,34,7.8,13,14,27,128,103,231,None
4,None,GregC,1:37.9,3:15.8,31,1.1,12,2,14,121,41,162,None
4,None,DaveS,1:38.4,3:16.7,34,10.6,11,17,28,109,129,238,None
4,None,Adrian,1:38.6,3:17.1,30,10.3,10,16,26,124,132,256,None
4,None,stupe,1:39.4,3:18.7,32,4.6,9,8,17,50,22,72,None
4,None,MattN,1:41.3,3:22.6,34,5.3,8,10,18,123,106,229,None
4,None,Emma,1:45.1,3:30.1,31,6.9,7,13,20,64,134,198,None
4,None,Hannah,1:46.1,3:32.1,31,6.8,6,12,18,18,26,44,None
4,None,Arlene,1:54.0,3:47.9,31,1.1,5,2,7,30,46,76,None
4,None,Kay,1:56.8,3:53.6,28,6.3,4,11,15,31,130,161,None
4,None,JudyT,1:58.8,3:57.6,29,8.7,3,15,18,7,15,22,None
4,None,Jane,2:06.9,4:13.7,30,1.4,2,3,5,15,119,134,None
4,None,Rocky,2:17.9,4:35.7,20,-27.4,1,1,2,180,92,272,None
5,/challenge/2009/04/,"6000 m",2009,4,D,6000
5,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
5,None,Olly,1:40.5,20:06.3,27,-11.7,20,8,28,131,34,165,None
5,None,Stu,1:42.8,20:33.2,29,-8.0,19,14,33,257,126,383,None
5,None,Danny,1:42.8,20:33.2,25,None,19,None,19,203,92,295,None
5,None,DaveC,1:43.8,20:45.8,27,-8.7,18,13,31,106,51,157,None
5,None,GregC,1:45.7,21:08.4,27,-7.8,17,15,32,138,56,194,None
5,None,Rocky,1:45.8,21:09.8,24,32.1,16,17,33,196,109,305,None
5,None,JulesT,1:46.0,21:11.9,22,-12.5,15,7,22,258,105,363,None
5,None,ausrwr,1:46.9,21:22.9,18,-19.3,14,2,16,183,85,268,None
5,None,ASH,1:47.0,21:24.3,26,None,13,None,13,157,67,224,None
5,None,stupe,1:48.4,21:40.8,27,-9.0,12,12,24,62,34,96,None
5,None,Elchem,1:50.3,22:03.6,None,None,11,None,11,92,59,151,None
5,None,MattN,1:50.4,22:04.3,29,-9.1,10,11,21,133,117,250,None
5,None,DaveS,1:52.9,22:35.0,26,-14.5,9,6,15,118,135,253,None
5,None,Adrian,1:54.2,22:50.2,24,-15.6,8,5,13,132,137,269,None
5,None,AndyB,1:54.6,22:55.2,24,-18.0,7,3,10,135,106,241,None
5,None,Hannah,1:56.0,23:12.1,28,-9.9,6,10,16,24,36,60,None
5,None,SteveV,1:56.1,23:13.6,22,None,5,None,5,20,None,20,None
5,None,toddler,1:57.3,23:27.3,21,-23.2,4,1,5,208,107,315,None
5,None,Arlene,2:01.1,24:13.4,27,-7.1,3,16,19,33,62,95,None
5,None,Kay,2:08.3,25:39.0,25,-11.5,2,9,11,33,139,172,None
5,None,Jane,2:23.0,28:35.4,None,-16.1,1,4,5,16,123,139,None
6,/challenge/2009/05/,"5000 m",2009,5,D,5000
6,ribbons,name,pace,time,spm,pace,pace,gain,all,pace,gain,all
6,None,Olly,1:36.9,16:09.0,31,None,25,None,25,25,None,25,None
6,None,Danny,1:40.1,16:41.4,27,None,24,None,24,24,None,24,None
6,None,ausrwr,1:40.4,16:43.5,24,None,23,None,23,23,None,23,None
6,None,Stu,1:42.3,17:03.2,29,None,22,None,22,22,None,22,None
6,None,DaveC,1:42.6,17:05.7,29,None,21,None,21,21,None,21,None
6,None,GregC,1:45.8,17:38.0,27,None,20,None,20,20,None,20,None
6,None,JulesT,1:45.9,17:38.8,22,None,19,None,19,19,None,19,None
6,None,ASH,1:45.9,17:39.0,26,None,18,None,18,18,None,18,None
6,None,AndyB,1:47.8,17:57.7,29,None,17,None,17,17,None,17,None
6,None,stupe,1:48.4,18:04.0,26,None,16,None,16,16,None,16,None
6,None,MattN,1:49.7,18:16.6,29,None,15,None,15,15,None,15,None
